[2024-11-13 14:15:55,436] 16 root - INFO - Initiate the Data Ingestion
[2024-11-13 14:16:15,905] 62 root - INFO - Performed train test split on the dataframe
[2024-11-13 14:16:15,905] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-13 14:16:15,905] 68 root - INFO - Exporting train and test file path.
[2024-11-13 14:16:15,936] 75 root - INFO - Exported train and test file path.
[2024-11-13 14:16:15,936] 18 root - INFO - Data Ingestion Completed
[2024-11-13 14:16:15,939] 21 root - INFO - Initiate the Data Validation
[2024-11-13 14:16:15,949] 32 root - INFO - Required number of columns:31
[2024-11-13 14:16:15,949] 33 root - INFO - Dataframe has columns:31
[2024-11-13 14:16:15,949] 32 root - INFO - Required number of columns:31
[2024-11-13 14:16:15,949] 33 root - INFO - Dataframe has columns:31
[2024-11-13 14:16:16,034] 23 root - INFO - Data Validation Completed
