[2024-11-13 21:23:18,810] 1038 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2024-11-13 21:23:19,329] 1038 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2024-11-13 21:23:19,843] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2024-11-13 21:23:19,849] 107 dagshub - INFO - Accessing as Nikhiliitg
[2024-11-13 21:23:20,422] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Nikhiliitg/networksecurity "HTTP/1.1 200 OK"
[2024-11-13 21:23:20,941] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2024-11-13 21:23:20,947] 107 dagshub - INFO - Initialized MLflow to track repo "Nikhiliitg/networksecurity"
[2024-11-13 21:23:20,947] 107 dagshub - INFO - Repository Nikhiliitg/networksecurity initialized!
[2024-11-13 21:23:21,016] 17 root - INFO - Initiate the Data Ingestion
[2024-11-13 21:23:38,692] 62 root - INFO - Performed train test split on the dataframe
[2024-11-13 21:23:38,692] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-13 21:23:38,693] 68 root - INFO - Exporting train and test file path.
[2024-11-13 21:23:38,724] 75 root - INFO - Exported train and test file path.
[2024-11-13 21:23:38,724] 19 root - INFO - Data Ingestion Completed
[2024-11-13 21:23:38,758] 22 root - INFO - Initiate the Data Validation
[2024-11-13 21:23:38,768] 32 root - INFO - Required number of columns:31
[2024-11-13 21:23:38,768] 33 root - INFO - Dataframe has columns:31
[2024-11-13 21:23:38,768] 32 root - INFO - Required number of columns:31
[2024-11-13 21:23:38,768] 33 root - INFO - Dataframe has columns:31
[2024-11-13 21:23:38,866] 24 root - INFO - Data Validation Completed
[2024-11-13 21:23:38,866] 28 root - INFO - Initiate the Data Transformation
[2024-11-13 21:23:38,866] 45 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2024-11-13 21:23:38,866] 47 root - INFO - Reading train and test file path.
[2024-11-13 21:23:38,875] 50 root - INFO - Read train and test data completed
[2024-11-13 21:23:38,875] 33 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[2024-11-13 21:23:38,875] 36 root - INFO - Exited get_data_transformer_object method of DataTransformation class
[2024-11-13 21:23:38,878] 69 root - INFO - Got the preprocessed train and test array
[2024-11-13 21:23:38,880] 40 root - INFO - Entered the save_object method of MainUtils class
[2024-11-13 21:23:38,882] 44 root - INFO - Exited the save_object method of MainUtils class
[2024-11-13 21:23:38,882] 30 root - INFO - Data Transformation Completed
[2024-11-13 21:23:38,882] 32 root - INFO - Initiate the Model Training
[2024-11-13 21:26:29,765] 40 root - INFO - Entered the save_object method of MainUtils class
[2024-11-13 21:26:29,766] 44 root - INFO - Exited the save_object method of MainUtils class
[2024-11-13 21:26:29,766] 109 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/11_13_2024_21_23_13/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9910613377170451), precision_score=np.float64(0.9893333333333333), recall_score=np.float64(0.9927953890489913)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9792307692307692), precision_score=np.float64(0.97847809377402), recall_score=np.float64(0.9799846035411856)))
[2024-11-13 21:26:29,773] 36 root - INFO - Model Training Completed
