[2024-11-13 18:55:27,184] 16 root - INFO - Initiate the Data Ingestion
[2024-11-13 18:55:31,752] 62 root - INFO - Performed train test split on the dataframe
[2024-11-13 18:55:31,752] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-13 18:55:31,752] 68 root - INFO - Exporting train and test file path.
[2024-11-13 18:55:31,783] 75 root - INFO - Exported train and test file path.
[2024-11-13 18:55:31,783] 18 root - INFO - Data Ingestion Completed
[2024-11-13 18:55:31,787] 21 root - INFO - Initiate the Data Validation
[2024-11-13 18:55:31,796] 32 root - INFO - Required number of columns:31
[2024-11-13 18:55:31,796] 33 root - INFO - Dataframe has columns:31
[2024-11-13 18:55:31,796] 32 root - INFO - Required number of columns:31
[2024-11-13 18:55:31,796] 33 root - INFO - Dataframe has columns:31
[2024-11-13 18:55:31,894] 23 root - INFO - Data Validation Completed
[2024-11-13 18:55:31,894] 27 root - INFO - Initiate the Data Transformation
[2024-11-13 18:55:31,894] 45 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2024-11-13 18:55:31,894] 47 root - INFO - Reading train and test file path.
[2024-11-13 18:55:31,903] 50 root - INFO - Read train and test data completed
[2024-11-13 18:55:31,904] 33 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[2024-11-13 18:55:31,904] 36 root - INFO - Exited get_data_transformer_object method of DataTransformation class
[2024-11-13 18:55:31,907] 69 root - INFO - Got the preprocessed train and test array
[2024-11-13 18:55:31,908] 38 root - INFO - Entered the save_object method of MainUtils class
[2024-11-13 18:55:31,910] 42 root - INFO - Exited the save_object method of MainUtils class
[2024-11-13 18:55:31,911] 29 root - INFO - Data Transformation Completed
