[2024-11-13 14:19:47,237] 16 root - INFO - Initiate the Data Ingestion
[2024-11-13 14:20:03,867] 62 root - INFO - Performed train test split on the dataframe
[2024-11-13 14:20:03,867] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-13 14:20:03,867] 68 root - INFO - Exporting train and test file path.
[2024-11-13 14:20:03,898] 75 root - INFO - Exported train and test file path.
[2024-11-13 14:20:03,898] 18 root - INFO - Data Ingestion Completed
[2024-11-13 14:20:03,902] 21 root - INFO - Initiate the Data Validation
[2024-11-13 14:20:03,911] 32 root - INFO - Required number of columns:31
[2024-11-13 14:20:03,911] 33 root - INFO - Dataframe has columns:31
[2024-11-13 14:20:03,911] 32 root - INFO - Required number of columns:31
[2024-11-13 14:20:03,911] 33 root - INFO - Dataframe has columns:31
[2024-11-13 14:20:03,991] 23 root - INFO - Data Validation Completed
