[2024-11-13 14:24:37,242] 16 root - INFO - Initiate the Data Ingestion
[2024-11-13 14:24:57,860] 62 root - INFO - Performed train test split on the dataframe
[2024-11-13 14:24:57,861] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-13 14:24:57,861] 68 root - INFO - Exporting train and test file path.
[2024-11-13 14:24:57,892] 75 root - INFO - Exported train and test file path.
[2024-11-13 14:24:57,892] 18 root - INFO - Data Ingestion Completed
[2024-11-13 14:24:57,895] 21 root - INFO - Initiate the Data Validation
[2024-11-13 14:24:57,905] 32 root - INFO - Required number of columns:31
[2024-11-13 14:24:57,905] 33 root - INFO - Dataframe has columns:31
[2024-11-13 14:24:57,905] 32 root - INFO - Required number of columns:31
[2024-11-13 14:24:57,905] 33 root - INFO - Dataframe has columns:31
[2024-11-13 14:24:57,984] 23 root - INFO - Data Validation Completed
[2024-11-13 14:24:57,984] 27 root - INFO - Initiate the Data Transformation
[2024-11-13 14:24:57,984] 45 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2024-11-13 14:24:57,984] 47 root - INFO - Reading train and test file path.
[2024-11-13 14:24:57,994] 50 root - INFO - Read train and test data completed
[2024-11-13 14:24:57,994] 33 root - INFO - Entered get_data_transformer_object method of DataTransformation class
